n_qubits	avg_time	time_std
20	3.6958932399749758	0.8674234647929974
24	6.6311469078063965	0.3301650410164927
28	8.446990060806275	0.4353754037309209
32	10.133753871917724	0.4181202840900779
36	11.323580121994018	0.5330651368080493
40	13.228042697906494	0.6839960171086188
44	14.404801845550537	0.523257520631628
48	15.723094654083251	0.5328153404117438
52	17.652397894859313	0.9974287006762993
56	20.405206537246706	1.1682624433113669
60	20.747524619102478	1.3588959763806228
64	22.559197497367858	0.7471013739382638
68	24.136256527900695	0.8045669059983719
72	24.99950578212738	0.8361154495872116
76	27.63667674064636	0.931479518213769
80	28.03663125038147	1.1163952543644737
84	30.151198744773865	1.4742171790034013
88	29.238108944892883	0.9972357914125902
92	29.938655829429628	1.375788351311935
96	30.683694863319396	1.235062303997346
100	31.96074719429016	1.323678287227912
