n_qubits	avg_time	time_std
20	2.490186595916748	0.5413888890665332
24	4.246397376060486	0.2065674446886845
28	5.353359055519104	0.2539543448467015
32	6.231758165359497	0.20323438165686766
36	7.2061467409133915	0.22875475324609645
40	7.997739720344543	0.5599170553766321
44	9.167797636985778	0.2535432865516384
48	9.931970906257629	0.4940858210882892
52	11.257949495315552	0.6856511109367053
56	13.470779132843017	0.80955566799861
60	12.900604414939881	0.7301577488620793
64	14.430689215660095	0.684582622789385
68	15.561055755615234	0.7745628706219412
72	16.13993411064148	0.7810982844757764
76	18.264916276931764	0.8400766809767863
80	18.711233830451967	1.0920061249318795
84	19.116204452514648	1.0564597629313448
88	19.208872723579407	0.8628608812591111
92	19.792756056785585	1.0793353062991786
96	20.35583701133728	0.9964685525993429
100	20.532687282562257	0.9098407419297393
